appid,genres
570,"Action, Free-to-Play, Strategy"
730,"Action, Free-to-Play"
786520,"Early Access, Software & Tools"
1056640,"Action, Free-to-Play, MMO, RPG"
8500,"Action, Free-to-Play, MMO, RPG, Strategy"
10,Action
289070,Strategy
271590,"Action, Adventure"
1623660,"Action, Adventure, Free-to-Play, MMO, RPG"
629520,Software & Tools
252490,"Action, Adventure, Indie, MMO, RPG"
1258080,"Adventure, Casual, Free-to-Play, RPG, Simulation"
313340,nan
4000,"Indie, Simulation, Sports"
550,Action
1085660,"Action, Adventure, Free-to-Play"
250900,Action
2167580,"Action, Adventure, Free-to-Play, MMO, RPG, Strategy"
384300,Software & Tools
1973710,"Adventure, Free-to-Play, RPG"
578080,"Action, Adventure, Free-to-Play, MMO"
431960,"Casual, Indie, Software & Tools"
39210,"MMO, RPG"
304930,"Action, Adventure, Casual, Free-to-Play, Indie"
216150,"Action, Adventure, Casual, Free-to-Play, MMO, RPG"
582660,"Action, Adventure, MMO, RPG, Simulation, Strategy"
375450,Strategy
221100,"Action, Adventure, MMO"
944770,Software & Tools
12120,Action
400040,"Free-to-Play, Software & Tools"
359550,Action
236850,"Simulation, Strategy"
240,Action
1267910,"Adventure, Casual, Indie, RPG"
1283970,Software & Tools
230410,"Action, Free-to-Play, RPG"
594650,Action
524660,Software & Tools
221040,"Action, Adventure"
438100,"Adventure, Casual, Early Access, Free-to-Play, MMO, Simulation, Sports"
346110,"Action, Adventure, Indie, MMO, RPG"
389730,"Action, Sports"
48700,"Action, RPG"
440,"Action, Free-to-Play"
552990,"Action, Free-to-Play, MMO, Simulation, Strategy"
386180,"Action, Adventure, Free-to-Play, MMO, Racing"
236390,"Action, Free-to-Play, MMO, Simulation"
381210,Action
107410,"Action, Simulation, Strategy"
758670,nan
1046930,"Casual, Free-to-Play, Strategy"
331470,"Adventure, Casual, Free-to-Play, Indie"
433850,"Action, Adventure, Free-to-Play, MMO"
877280,Software & Tools
836620,"MMO, RPG"
218620,"Action, RPG"
966610,Software & Tools
835570,"Action, Free-to-Play, MMO, RPG, Strategy"
1599340,"Action, Adventure, Free-to-Play, MMO, RPG"
1089350,"Simulation, Sports"
761890,"Free-to-Play, MMO, RPG"
42690,nan
1250,Action
1329410,nan
1881700,"Adventure, Free-to-Play, MMO, RPG"
238960,"Action, Adventure, Free-to-Play, Indie, MMO, RPG"
326460,"Action, Casual, Indie, MMO, Strategy"
